Enabled,Name,ID
0,,0
0,So Shall You Fight,1
0,Precision Shot,2
0,Squadsight,3
0,Secondary Heart,4
0,Low Profile,5
0,Run and Gun,6
0,Autopsy Required,7
1,Battle Scanner,8
0,Disabling Shot,9
0,Opportunist,10
0,Executioner,11
0,,12
0,Double Tap,13
0,In The Zone,14
0,Damn Good Ground,15
0,Snap Shot,16
0,Will to Survive,17
0,Fire Rocket,18
0,Holo-Targeting,19
0,Adrenal Neurosympathy,20
0,Suppression,21
0,Shredder Ammo,22
0,Rapid Reaction,23
0,Grenadier,24
0,Danger Zone,25
0,Ready For Anything,26
0,Extra Conditioning,27
0,Neural Damping,28
0,Neural Feedback,29
0,Hyper-Reactive Pupils,30
0,Sprinter,31
0,Aggression,32
0,Tactical Sense,33
0,Close Encounters,34
0,Lightning Reflexes,35
0,Rapid Fire,36
0,Flush,37
0,Depth Perception,38
0,Bring 'Em On,39
0,Close Combat Specialist,40
0,Killer Instinct,41
0,Bioelectric Skin,42
0,Resilience,43
0,Smoke Grenade,44
0,Adaptive Bone Marrow,45
0,Random Subclass,46
0,Covering Fire,47
0,Field Medic,48
0,Pyrokinesis,49
0,Muscle Fiber Density,50
1,Combat Drugs,51
1,Dense Smoke,52
0,Packmaster,53
0,Sentinel,54
1,Savior,55
1,Revive,56
0,Elevated Ground,57
0,Lock N' Load,58
0,Sapper,59
0,Suppressed,60
0,Critically Wounded,61
0,Airborne,62
0,Stealth,63
0,HEAT Warheads,64
0,Combat Stimmed,65
0,Javelin Rockets,66
0,Panicked,67
0,Mindfray,68
0,Psi Panic,69
0,Psi Inspiration,70
0,Mind Control,71
0,Telekinetic Field,72
0,Rift,73
0,Mind Merge,74
0,Mind Merge,75
0,Hardened,76
0,Greater Mind Merge,77
0,Greater Mind Merge,78
0,Evasion,79
0,Launch,80
0,Bombard,81
0,Leap,82
0,Acid Spit,83
0,Venomous Claws,84
0,Blood Call,85
0,Intimidate,86
0,Fallen Comrades,87
0,Bloodlust,88
0,Bull Rush,89
0,HEAT Ammo,90
1,Smoke and Mirrors,91
0,Shock and Awe,92
1,Mayhem,93
0,Ranger,94
0,Concealment,95
0,Cluster Bomb,96
0,Psi Lance,97
0,Death Blossom,98
0,Overload,99
0,Psi Control,100
0,Psi Drain,101
0,Repair,102
0,Cannon Fire,103
0,Implant,104
0,Chryssalid Spawn,105
0,Battle Fatigue,106
0,Range,107
0,Range,108
0,,109
0,,110
0,,111
0,Tandem Warheads,112
0,,113
0,Fire in the Hole,114
0,,115
0,Deadeye,116
0,,117
0,,118
0,Psychokinetic Strike,119
0,,120
0,MEC Close Combat,121
0,Stay Frosty,122
0,,123
0,Sentinel Module,124
0,Alien Grenades,125
0,Light 'Em Up,126
0,Stealth,127
0,Ghost Mode,128
0,Reaper Pack,129
0,Disoriented,130
1,Collateral Damage,131
0,Automated Threat Assessment,132
0,Advanced Fire Control,133
0,Damage Control,134
0,Vital Point Targeting,135
0,One For All,136
0,Jetboot Module,137
0,Combined Arms,138
0,Repair Servos,139
0,Fortiores Una,140
0,Platform Stability,141
0,Absorption Fields,142
0,Shock-Absorbent Armor,143
0,Reactive Targeting Sensors,144
0,Body Shield,145
0,Distortion Field,146
0,Adrenaline Surge,147
0,Iron Skin,148
0,Regen Biofield,149
0,Field Surgeon,150
0,EXALT Comm Hack,151
0,Semper Vigilans,152
0,Sharpshooter,153
0,Steadfast,154
0,Smart Macrophages,155
0,Legio Patria Nostra,156
0,Band of Warriors,157
0,So Others May Live,158
0,Lone Wolf,159
0,Esprit de Corps,160
0,Into the Breach,161
0,Paramedic,162
0,Aiming Angles,163
0,Catching Breath,164
0,Tactical Rigging,165
0,Strangle,166
0,Hit and Run,167
0,Psi Shield,168
0,Electropulsed,169
0,OTS Leader Bonus,170
0,Lead By Example,171
